Code;ID;Index;Name_r;Name_e;Code_Kind_0;Code_Kind_1;Code_Kind_2;Code_Kind_3;Group;Kind_2;Kind_1;Kind_0;T0;T1;Size_t;Size_Code;Element;X_deg;Y_deg;X_Pul;Y_Pul;u2;X_deg_1;Y_deg_1;X_deg_2;Y_deg_2;Rayon;Icon;INFO;MAP_ID;Поле32;Поле33;Oblast;nextBorder;Y_deg_back;Desc_Long
397;399;III-11-8;Джеткаит;Jetkayit;2;21;213;21301;Олово;Редкие металлы;Металлы;Рудные;;;Мелкое;3;;79.25;41.82;13853167;4640098;;79.25;41.82;79.25;41.82;Ак-Суйский район;/icon/Cu.png;397__Jetkayit.txt;;;;Иссык-Кульская область;;41.82;1984-88гг  - поиски м-ба 1:10000 (канавы, пробы). <br><br>Условия не благоприятные, выс. 2200-3000м, перспективы ограничены. <br><br>P1-Sn - 817 т <br>P2-Sn -3677 т<br>WO3-<br>P1+P2-2160 т <br><br>Sn - ср. 0.34 % <br>WO3 - ср. 0.2 % <br><br>В гранодиоритах Р1 - две жильные зоны (200-350 х 80-140м) и линейный штокверк (70-100 х 0.1-0.3м).
398;400;IV-6-3;Чаарташ;Chaartash;2;21;213;21301;Олово;Редкие металлы;Металлы;Рудные;Коренное месторождение;;;0;;74.03;41.23;13418955;4567017;;74.03;41.23;74.03;41.23;Тогуз-Тороуский район;/icon/Cu.png;398__Chaartash.txt;;;;Джалал-Абадская область;;41.23;1966-68гг м-ба 1:50000  <br>условия относительно благоприятные, выс. 3450-3500 м, доступно, не перспективно. <br>Нет  сведений<br><br>Sn - 0.15-0.20 % <br>ВеО-0.06-0.14% <br>Вi - 0.02 %  <br><br>В порфировидных гранитах Р2 - две минерализованные зоны дробления: 50 х 2м и 100 х 1.0м.
399;401;IV-8-25;Байболот;Baybolot;2;21;213;21301;Олово;Редкие металлы;Металлы;Рудные;;;;0;;76.63;41;13637425;4541939;4;76.63;41;76.63;41;Ат-Башинский район;/icon/Cu.png;399__Baybolot.txt;;;;Нарынская область;;41;1965-66гг <br>Поиски м-ба 1:50000 (канавы, пробы)<br> условия относительно благоприятные, выс. 2600-2700 м, не перспективно.<br><br>Не подсчитывались<br><br>Sn - 0.17-0.52 % <br><br>На контакте гранитов Р1 с известняками D - серия мелких скарновых тел (20 х 0.5м),  среди них 2 рудных тела площадью 3.5 и 4.0 м2.
400;402;IV-8-26;Бозой;Bozoi;2;21;213;21301;Олово;Редкие металлы;Металлы;Рудные;Коренное месторождение;;;0;;76.63;40.98;13637460;4540087;4;76.63;40.98;76.63;40.98;Ат-Башинский район;/icon/Cu.png;400__Bozoi.txt;;;;Нарынская область;;40.98;1965-66гг <br>Поиски (канавы, пробы) <br>условия относительно благоприятные, выс. 3300м, не перспективно. <br>Не подсчитывались <br><br>Sn - 0.1 - 0.14 % <br><br>На контакте гранитов Р1 с известняками D - серия линзовидных тел магнетит-гранатовых скарнов (8-10 х 1-2 м).
401;403;VI-2-64;Тамынген;Tamyngen;2;21;213;21301;Олово;Редкие металлы;Металлы;Рудные;Коренное месторождение;;;0;;70.4;39.77;13104819;4395318;4;70.4;39.62;70.4;39.62;Баткенский район;/icon/Cu.png;401__Tamyngen.txt;;;;Баткенская область;1;39.62;В 1941 г. разрабатывалось старателями на олово  <br>1951г  - разведка (шт., бороздовые пробы)  <br>Условия не благоприятные,  выс.3200м,  труднодоступно.<br><br>В+С1 - 21.8т<br>С2 - 9.3 т <br><br>Sn - 0.5 - 0.2 % <br>Ве - 0.29 % <br><br>В метасоматических сланцах S  -  16 пегматитовых жил (20-700 х 0.3-0.5м).
402;404;VI-3-35;Аллаудинское;Allaudinskoe;2;21;213;21301;Олово;Редкие металлы;Металлы;Рудные;Коренное месторождение;;Мелкое;3;;71.62;39.7;13209788;4401774;;71.62;39.7;71.62;39.7;Чон-Алайский район;/icon/Cu.png;402__Allaudinskoe.txt;;;;Ошская область;;39.7;1966-67гг  - геолсъемка м-ба 1:5000  <br>1975-79гг  - поиски м-ба 1:1000 (канавы,  шт, пробы)  <br>Условия не благоприятные,  выс. 3600-3800м. <br><br>Р1 на глуб. 45.0 м 2747 т<br><br>Sn - до 10.86%,  ср. 1.57 %<br><br>в скарнах: <br>Bi - до 0.15 % <br>BeO - 0.3 % <br>Au- до 20 г/т <br>Ag - 100г/т <br>Pb- до 1.0% <br><br>В апофизе граносиенитов Р2-Т, секущей мраморы С1  -  серия скарновых линз в полосе 140 х 0.3-4.5м.
403;405;VI-3-36;Кызыл-Сай;Kyzyl-Sai;2;21;213;21301;Олово;Редкие металлы;Металлы;Рудные;Проявление;;;0;;71.63;39.7;13211217;4401720;;71.63;39.7;71.63;39.7;Чон-Алайский район;/icon/Cu.png;403__Kyzyl-Sai.txt;;;;Ошская область;;39.7;1974-82гг -  детальные поиски  (канавы, пробы)  <br>выс. 4000-4500м. <br><br>Р1 - 900 т (0.29 %) <br><br>Sn - 0.29 % <br>Ag - 64.4 г/т<br><br>Вдоль контакта известняков и терригенных отложений С -минерализованная зона (3000 х 2-50 х 500м).
404;406;VI-3-40;Ойтерек;Oiterek;2;21;213;21301;Олово;Редкие металлы;Металлы;Рудные;Проявление;;проявле;0;;71.95;39.82;13238827;4413705;4;71.95;39.82;71.95;39.82;Кадамжайский район;/icon/Cu.png;404__Oiterek.txt;;;;Баткенская область;;39.82;1938г -  геолсъемка м-ба 1:10000 <br>условия благоприятные,  выс. 2200м, доступно, не перспективно. <br><br>Р2 на глуб.50м  Sn - 165 т <br><br>Sn - 0.11 % <br>Pb - 0.18 % <br>As - 0.18 % <br><br>В экзоконтакте гранодиоритов Р1  в известняках D3 - межпластовая скарновая залежь (1000 х 1.0м).
405;407;VI-3-58;Сентябрьское;Sentyabrskoe;2;21;213;21301;Олово;Редкие металлы;Металлы;Рудные;Коренное месторождение;;Мелкое;3;;71.97;39.58;13239377;4387742;;71.97;39.58;71.97;39.58;Чон-Алайский район;/icon/Cu.png;405__Sentyabrskoe.txt;;;;Ошская область;;39.58;1986-90гг  - групповая геолсъемка м-ба 1:50000,  поиски м-ба 1:5000 (канавы,  шурфы, бороздовые пробы). <br>Условия благоприятные, выс.2700-3200м,  доступно, перспективно. <br>P1 на глуб 260м: <br>Sn - 7165 т <br>Au - 1.55 т <br>Sn - 0.44 % <br><br>Au - 1.9 г/т <br>Ag - 2.0-146.2г/т <br>Pb- до 1.2 % <br>Sb - 0.19 % <br>As - 1.0 % <br><br>В сланцах S2-D1 и алевролитах D3-С1 - два рудных тела в минерализованных дайках гранит-порфиров: 525 х 2.3 х 260м и 500 х 2.5 х 250м.
406;408;II-3-30;Сарымсак;Sarymsak;2;21;213;21302;Олово,полиметаллы;Редкие металлы;Металлы;Рудные;Коренное месторождение;;проявле;0;;71.65;42.43;13224322;4705294;;71.65;42.43;71.65;42.43;Бакай-Атинский район;/icon/Cu.png;406__Sarymsak.txt;;;;Таласская область;;42.43;Отработано древними рудокопами до уровня грунтовых вод,  условия благоприятные, перспективы ограничены. <br><br>Р1 на глуб. 100м <br>Sn- 444 т <br>Pb - 5700 т <br>Zn - 3490 т <br>Ag - 5.5 т<br><br>Sn- cр.0.23 %<br>Pb - 2.38 % <br>Zn - 1.36 % <br>Ag - 21.0 г/т <br>Cu - 0.8 % <br>Sb - 0.28 % <br><br>В песчано-сланцевых отложениях PZ1  -  2 минерализованные зоны, рудное тело - 1050 х 0.71 х 100м.
407;409;II-4-60;Чаткарагайское;Chatkaragaiskoe;2;21;213;21302;Олово,полиметаллы;Редкие металлы;Металлы;Рудные;Коренное месторождение;;Мелкое;3;;72.37;42.17;13282386;4673590;4;72.37;42.17;72.37;42.17;Токтогульский район;/icon/Cu.png;407__Chatkaragaiskoe.txt;;;;Джалал-Абадская область;;42.17;Известно с 1933г  1937-38  <br>1951-55гг -  разведка (5 штольневых горизонтов до гл.200м).<br>Условия благоприятные, перспективы ограничены.<br><br>На глуб. 200м  С1-забаланс. <br>Sn- 1015 т <br>Pb - 8000 т <br>Zn - 5900 т <br>Cd - 32 т <br>Ag - 37.6 т <br><br>Sn- cр.0.2 % <br>Pb - 1.6 % <br>Zn - 1.14% <br>Cd - 0.006 % <br>Sb - до 1.0 % <br>As - 5.84 % <br>Ag - ср.73 г/т <br><br>В сланцах и известняках PZ1 - серия секущих сульфидных жил, основное рудное тело 400 х 0.2-1.5 х 200м, 5 мелких рудных жил 60-120 х 0.2-4.2м.
408;410;II-4-77;Чагылган;Chagylgan;2;21;213;21302;Олово,полиметаллы;Редкие металлы;Металлы;Рудные;Проявление;;Мелкое;3;;72.67;42.08;13306926;4663611;4;72.67;42.08;72.67;42.08;Токтогульский район;/icon/Cu.png;408__Chagylgan.txt;;;;Джалал-Абадская область;;42.08;1974-79гг -  поиски м-ба 1:10000 (канав, шурфы, пробы), условия благоприятные, выс. 3200-3400м  <br>доступно, перспективы ограничены. <br><br>С2-на глуб. 100м <br>Sn- 5553 т Cu -9559 т  <br>Zn - 7701 т <br>Pb - 3617 т <br>Ag - 19.9 т <br><br>Sn - ср. 0.15 % <br>Bi - 0.5 % <br>Ag - до 925 г/т<br>Au - до 3.0 г/т <br>Cu - 0.26 % <br>Zn - 0.21 % <br>Pb - 0.1 % <br><br>В мраморах R3 в экзоконтакте гранитоидов O3-S1 - 2 полосы скарнов (610-1500 х 51-250м), в них 14 рудных тел длины от 75 до 610м,  мощности от 0.6 до 10.0м.
409;411;III-5-19;Караваш;Karavash;2;21;213;21302;Олово,полиметаллы;Редкие металлы;Металлы;Рудные;Проявление;;Мелкое;3;;73.45;41.78;13371143;4628814;;73.45;41.78;73.45;41.78;Токтогульский район;/icon/Cu.png;409__Karavash.txt;;;;Джалал-Абадская область;;41.78;1938г  - поиски  1940г -  поисково-оценочные работы (канавы, штольни). <br>Условия благоприятные, выс.1500-2000м, не перспективно. <br>Забалансовые руды на глуб. 150м  <br>Sn В+С1-3190т  <br>С2 -5570т <br>В+С1+С2-8760т  (0.15 %) <br><br>Cu -В+С1+С2-<br>28400т Sn - 0.15 % <br>Cu - 0.49 % <br>Pb - до 24.19 % <br>Zn - 24.6 % <br>Bi - 0.06 %<br><br>Рудное тело (75 х 2м) в скарнах между известняками R и гранитами S.
410;412;III-5-32;Нура;Nura;2;21;213;21302;Олово,полиметаллы;Редкие металлы;Металлы;Рудные;Коренное месторождение;;;0;;73.18;41.52;13348387;4601480;4;73.18;41.52;73.18;41.52;Базар-Коргонский район;/icon/Cu.png;410__Nura.txt;;;;Джалал-Абадская область;;41.53;1971-73гг  - геолсъемка м-ба 1:50000 (канавы, бороздовые пробы). <br>Выс.3200-3300м, доступность сезонная, не перспективно.  <br>Р1на глуб. 50м <br>Sn - 40 т  <br>Pb - 570 т  <br>Zn - 600 т  <br>Sn- 0.15-0.17 %  <br>Pb - 1.81-2.82 %  <br>Zn - 1.47-3.6 %  <br>Ag - от 22.6 до 1648 г/т  <br><br>Известняки S прорваны дайкой диабазовых порфиритов, в зальбандах дайки рудное тело, представленное окисленными сульфидными рудами (100 х 0.5-3.0м).
411;413;III-5-33;Алмаункур;Almaunkur;2;21;213;21302;Олово,полиметаллы;Редкие металлы;Металлы;Рудные;Коренное месторождение;;;0;;73.25;41.52;13353914;4599514;;73.25;41.52;73.25;41.52;Базар-Коргонский район;/icon/Cu.png;411__Almaunkur.txt;;;;Джалал-Абадская область;;41.52;Известно с 1937г <br>1972г -  поиски м-ба 1:10000 (канавы, пробы).  <br>Выс. 3250-3300м,  труднодоступно, не перспективно.  <br>Р1 на глуб. 100м <br>Sn - 331 т  <br>Pb - 1572 т  <br>Ag - 17 т  <br><br>Sn- 0.28 %  <br>Pb - 1.33 %  <br>Zn - 0.5-17.6 %  <br>Ag - 144 г/т  <br><br>Вдоль контакта дайки гранит-порфиров (С2),  прорывающей известняки D - рудная зона окисленных полисульфидных руд (240 х 2.58 х 100м)
412;414;III-10-28;Сарыбулак;Sary-Bulak;2;21;213;21302;Олово,полиметаллы;Редкие металлы;Металлы;Рудные;Проявление;79;Мелкое;3;;78.52;41.63;13793052;4616971;;78.52;41.63;78.52;41.63;Джети-Огузский район;/icon/Cu.png;412__Sary-Bulak.txt;;;;Иссык-Кульская область;;41.63;1954-56гг - поиски <br>1954-56,  1967-68, 1973-78 <br>1982-86гг -  поисково-оценочные работы (канавы, штольни-3350м, шурфы, скважины - 23950м).  <br>Подготовлено к эксплуатации.  <br><br>Sn С1-2161 т  <br>С2 -7364 т  <br>Р1 -7249 т  <br>С1+С2+Р1-16774т  <br><br>С1+С2+Р1-сопутс:  <br>Sb-21542т (1.08%)  <br>Pb-55383т (2.78%)  <br>Zn-50936т(2.55%)  <br>Cu-5342т (0.27%)  <br>Ag-37.78т(18.94г/т)  <br>Bi-125т (0.006%)  <br>Cd- 326т (0.016%)  <br>In- 17т (0.001%)  <br>Sn- cр.0.84 %  <br>Pb - 2.78 % <br>Zn - 2.55 %  <br>Cu - cр. 0.27 %  <br>Ag - ср.18.94г/т  <br><br>В известняках D3 в экзоконтакте гранитов Р1  два столбообразных рудных тела окисленных руд размера 50-105 х 3.5-21.9 х 500м и 70-98 х 5 х 26.6 х 150м.
413;415;VI-4-22;Ходжа-Келды;Khodja-Keldy;2;21;213;21302;Олово,полиметаллы;Редкие металлы;Металлы;Рудные;Проявление;;Мелкое;3;;72.98;39.95;13327654;4426004;;72.98;39.95;72.98;39.95;Кара-Суйский район;/icon/Cu.png;413__Khodja-Keldy.txt;;;;Ошская область;;39.95;1981-84гг  - поиски м-ба 1:10000 (канавы, шурфы-430м,  шт.-3700м, скв.-1353м) <br>условия благоприятные, выс.2500-3100м, доступно, малоперспективно.  <br><br>На глуб. 250м  <br>Sn:  <br>С2-271.8т (0.69%)  <br>Р1-2299т (0.25%)  <br>Р2-1176т (0.21%)  <br>Всего - 3747.8т (0.25%)  <br>Ag-  <br>С2+Р1+Р2-70.3т (8.5 г/т)  <br>Au- С2+Р1+Р2-4.157т (0.5 г/т)  <br>Cu - Р1+Р2-34692т (0.42%)  <br>Pb- 14862т(0.12%)  <br>Sn- cр.0.25 %  <br>Pb - до 0.18 %  <br>Cu - 0.42 %  <br>Zn-0.10 %  <br>Bi- 0.05 %  <br>Au - до 1.1 г/т  <br>Ag - до 17.2г/т  <br><br>В зонах экзо-эндоконтактов массива гранодиоритов Р1, прорывающих конгломераты С2 - 8 минерализованных зон, включающих 7 жильных рудных тел 37-167 х 2.1-250м и рудный штокверк 310 х 30 х 250м
414;416;VI-5-3;Каинды -Джилга;Kaiyndy-Djilga;2;21;213;21302;Олово,полиметаллы;Редкие металлы;Металлы;Рудные;Проявление;;Мелкое;3;;73.1;39.98;13337704;4429486;;73.1;39.98;73.1;39.98;Кара-Суйский район;/icon/Cu.png;414__Kaiyndy-Djilga.txt;;;;Ошская область;;39.98;1983г - поиски м-ба 1:10000 (канавы, пробы) <br>выс. 3500-3800м.,  труднодоступно,  не перспективно.  <br><br>Р2 на глуб.250м  <br>Sn- 9712т(0.08%)  <br>Ag -127т(13.9г/т)  <br>Au - 0.13т(4.7г/т)  <br><br>Sn- ср.0.08 %  <br>Ag - до 678 г/т  <br>Au - 4.7 г/т  <br><br>В зонах экзо-эндоконтактов массива гранодиоритов Р1 - 7 линейных штокверковых зон 100-360 х 0.2-38 х 250м и скарновая залежь S=20000м2
415;417;I-9-11;Орто-Байсорун;Orto-Baisorun;2;21;213;21303;Олово, вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;;0;;77.7;42.87;13720646;4751530;;77.7;42.87;77.7;42.87;Иссык-Кульский район;/icon/Cu.png;415__Orto-Baisorun.txt;;;;Иссык-Кульская область;;42.87;1942г -  поиски <br>1952г  - разведка трестом Средазолово (канавы, пробы, съемка м-ба 1:2000).  <br>Выс.-3600м, доступно.  <br>Не перспективно.  <br>Запасы не подсчитывались  <br><br>Sn - 0.05-0.3 %  <br>WO3-0.05-0.3%  <br>Mo-0.001-0.2%  <br>Bi- до 0.6% (в одной пробе)  <br><br>В гранодиоритах О3 зона (100-500м) грейзенизации и окварцевания, вмещающая непротяженные линзовидные рудные тела.
416;418;I-9-14;Озерное;Ozernoe;2;21;213;21303;Олово, вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;;0;;77.85;42.88;13732842;4753785;;77.85;42.88;77.85;42.88;Иссык-Кульский район;/icon/Cu.png;416__Ozernoe.txt;;;;Иссык-Кульская область;;42.88;1952г  - поиски трестом Средазолово <br>1968-71г  -  поиски (пробы).  <br>Условия неблагоприятные, выс.- 3700-3800м, труднодоступно, район не освоен.  <br>Перспективно для отработки.  <br>Не подсчитывались  <br><br>Sn - до 2.47 %  <br>WO3-до 25.0%  <br>Bi- 0.124 % <br>Pb - до 4.6 %  <br>Cu-0.8%  <br>Mo-0.03% <br><br>В порфировидных гранитах О3 - 13 касситерит-вольфрамовых жил (10-130 х 0.1-1.5м).
424;426;II-3-39;Вольфрамовое;Volframovoe;2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;;0;;71.77;42.35;13233571;4695664;;71.8;42.35;71.8;42.35;Бакай-Атинский район;/icon/Wo4.png;424__Volframovoe.txt;;;;Таласская область;;42.35;1963г  - геолсъемка м-ба 1:50000 (канавы, шурфы, пробы).  <br>Условия благоприятные,  выс. - 1950-2000м,  доступно, бесперспективно.  <br><br>Р1 на глуб. 50м  <br>WO3 -562т  (0.6 %)  <br>WO3 - 0.2-1.0% <br>Ag - 7.5-53.2 г/т  <br><br>В алевролитах и песчаниках PZ1  - минерализованная зона (75-100 х 20-25м), включающая 2 рудных тела.
425;427;II-3-55;Конгур-Тюбе;Kongur-Tyube;2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;;0;;71.77;42.29;13233360;4690109;;71.81;42.29;71.81;42.29;Бакай-Атинский район;/icon/Wo4.png;425__Kongur-Tyube.txt;;;;Таласская область;;42.3;1934г -  разведка (трест Средазредметразведка) <br>1950-52 гг -  поиски <br>1966г - оценка жильных тел.  <br>Условия благоприятные, выс.- 2700м,  доступно, не перспективно.  <br><br>Не подсчитывались  <br><br>WO3-0.02-0.78%  <br>Вi-до 0.27%  <br>Мо-0.048%  <br><br>в жилах -  <br>Au-до 1.4г/т  <br>Ag - до 1022г/т  <br><br>В сланцах и алевролитах Є-О - скарновая залежь (0.15км2), в ней два рудных тела (60х 1.0м).
426;428;II-4-80;Джелибек;Djelibek;2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;;0;;72.83;42.08;13320717;4663248;4;72.83;42.08;72.83;42.08;Токтогульский район;/icon/Wo4.png;426__Djelibek.txt;;;;Джалал-Абадская область;;42.08;1965г -  поиски (канавы, пробы).  <br>Условия неблагоприятные, выс. -  2080-2300м,  труднодоступно, неперспективно.  <br><br>Р1 на глуб.100м  <br>WO3 -84т (0.15%)  <br>Au-0.055т(0.98г/т)  <br><br>WO3 - ср.0.15%  <br>Cu - 0.002-1.0  <br>Mo - 0.001-0.01  <br>Zn - 0.01-0.08%  <br>Au-0.7-1.2 г/т  <br>Ag -0.8-8.0 г/т  <br><br>На контакте массива гранодиоритов О3 с известняками Є-О - полоса скарнов (300 х 3-8м),  в ней две рудные залежи (50 х 1.65-2.1м)
427;429;II-5-35;Кызтуды;Kyztudy;2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;;0;;73.03;42.03;13337139;4657293;4;73.03;42.03;73.03;42.03;Токтогульский район;/icon/Wo4.png;427__Kyztudy.txt;;;;Джалал-Абадская область;;42.03;1965-67гг -  геолсъемка м-ба 1:50000.  <br>Выс.-3560м, труднодоступно, неперспективно. <br><br>Не подсчитывались  <br><br>WO3 - 0.06-0.32%  <br>Sn - 0.02-0.09%  <br>Mo- 0.03-0.15%  <br><br>На контакте гранитов О3 с известняками PR3 -  скарновая залежь (45 х5.5м).
428;430;II-5-40;Ташбулак;Tashbulak;2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;;0;;73.97;42.02;13414408;4654087;4;73.97;42.02;73.97;42.02;Токтогульский район;/icon/Wo4.png;428__Tashbulak.txt;;;;Джалал-Абадская область;;42.02;1968-70гг - геолсъемка м-ба 1:50000 (канавы, пробы).  <br>Выс. - 3000 м, неперспективно.  <br><br>Не подсчитывались  <br><br>WO3-0.05-0.2%  <br>Sn - 0.01 %  <br>Pb- 0.01-0.03%  <br><br>На контакте гранитоидов О3 -S1 с мраморами - два скарновых тела: 50 х 2.5-1.0 и 25 х 1.0м.
429;431;II-7-94;Кашкасу-Тюлекское;Kashkasuu-Tyulekskoe;2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;;0;;75.4;42;13533141;4651796;;75.4;42;75.4;42;Кочкорский район;/icon/Wo4.png;429__Kashkasuu-Tyulekskoe.txt;104;;;Нарынская область;;42;1938 г  -  разведка (шт., шурфы, канавы).  <br>1953-55г -  геолсъемка м-ба 1:84000,  1:5000,  1:2000. 1:5000,  <br>Выс. 3600-3800 м, труднодоступно. <br>Перспективы не выяснены. <br><br>Р1 на глуб. 20м <br>WO3-3.0 т (0.27 %) <br><br>WO3-до 10 %,  ср. 0.27 % <br>Мо - 0.006 % <br><br>На контакте гранодиоритов О1-2 с известняками О - два скарновых рудных тела (80-45 х 0.5-0.35 х 15-20 м).
430;432;II-7-95;Чалой (Чалай);Chaloi(Chalai);2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;;0;;75.43;42;13535902;4651810;;75.43;42;75.43;42;Кочкорский район;/icon/Wo4.png;430__Chaloi(Chalai).txt;105;;;Нарынская область;;42;1939г -  разведка, добыто 0.112 т вольфрамового концентрата  <br>1953-55гг -  геолсъемка м-ба 1:10000, 1:1000. <br>Высота 3500-3900м, не перспективно. <br><br>Кат.В1 - 0.253т (1.35%) <br><br>WO3-ср. 1.35 % <br>Мо - 0.06 % <br>Sn-0.01-0.03% <br>Au-до 0.3 г/т <br><br>На контакте гранодиоритов О1-2 с известняками О - три скарновых рудных тела (2-10 х 0.2-0.6 м).
431;433;II-8-5;Скарновое;Skarnovoe;2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;;0;;76.13;42.58;13593037;4717139;;76.13;42.58;76.13;42.58;Иссык-Кульский район;/icon/Wo4.png;431__Skarnovoe.txt;;;;Иссык-Кульская область;;42.58;1963г -  геолсъемка м-ба 1:25000.<br>Условия благоприятные,  выс.3200м, доступно, изучено слабо, перспективы не выяснены. <br><br>Не подсчитывались <br><br>WO3-0.56 % <br>Pb - 0.53 % <br>Ta2O5 - 0.042% <br><br>На контакте гранодиоритов О3 с известняками (Є-О) - линзовидные тела гранат-эпидотовых скарнов (5-54 х 0.5-4.0м).
432;434;II-9-14;Аксай;Aksai;2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;;0;;77.23;42.12;13684654;4668944;;77.23;42.12;77.23;42.12;Тонский район;/icon/Wo4.png;432__Aksai.txt;104;;;Иссык-Кульская область;;42.13;1959г  -геолсъемка м-ба 1:200000  <br>1960г  - геолсъемка м-ба 1:5000 (канавы,  пробы). <br>Условия благоприятные,  выс.2000-2100м, доступно. <br>Практического интереса не представляет. <br><br>Не подсчитывались <br>WO3-0.10-0.90% <br>Mn - 0.10 -10.58 % <br>CaF2 - 0.07-7.33% <br><br>Зона разлома (180-250 х 5-7 х 30м),  секущая гранит-порфиры D2-3 и перекрывающие их гравелиты плиоцена. <br><br>В гранитах - рудное тело - 180 х 1-15.8 х 10м, в гравелитах 2 пластобразных рудных тела (250х0.1 - 1.3х30м). Оруденение представлено тунгомеланом,  псиломеланом и флюоритом
433;435;II-9-17;Дайковое;Daikovoe;2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;;0;;77.22;42.07;13683469;4661503;;77.22;42.07;77.22;42.07;Джети-Огузский район;/icon/Wo4.png;433__Daikovoe.txt;107;;;Иссык-Кульская область;;42.07;1959г  - геолсъемка м-ба 1:20000. <br>Условия благоприятные, выс.3100м, доступно, не перспективно. <br><br>Не подсчитывались <br><br>WO3-1.10 % <br>STR - 0.1 % <br><br>Оруденелая дайка гранит-порфиров (20 х 0.8м), секущая гранодиориы.
434;436;II-9-19;Тоссор;Tossor;2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Коренное месторождение;;Мелкое;3;;77.37;42.13;13695679;4669241;;77.37;42.13;77.37;42.13;Тонский район;/icon/Wo4.png;434__Tossor.txt;108;;;Иссык-Кульская область;;42.13;1971-72гг -  поисково-оценочные работы (канавы, шурфы,  скважины-266.7м). <br>Условия благоприятные, выс.  1700-2000м, легко доступно. <br><br>1972г -  по рудным телам: <br>WO3-С2+Р1-2000т (0.30 %) <br>Мn-31400т (2.58 %) <br><br>WO3-ср.0.22% <br>Mn - ср.2.58% <br>Ag - до 3.6г/т CaF2 - до 8.4 % <br><br>Минерализованная зона (1300 х 8.46 х 350м),  секущая граниты D2-3 и отложения плиоцена. Тунгомелан-псиломелановые руды в основном плиоцена (пластовые тела) и в виде жил в гранитах.
435;437;II-9-21;Таксанбулак;Taksanbulak;2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;;0;;77.45;42.13;13702570;4669435;;77.45;42.13;77.45;42.13;Джети-Огузский район;/icon/Wo4.png;435__Taksanbulak.txt;110;;;Иссык-Кульская область;;42.13;1952-69гг  - поиски (канавы, пробы). <br>Условия благоприятные, выс.2000-2300м, легко доступно, практического значения не имеет. <br><br>Не подсчитывались <br><br>WO3-0.05-0.40% <br><br>Mn - 1-14.4% <br><br>Pb - до 0.3 % <br><br>CaF2-1.03-9.53% <br><br>Минерализованная зона на контакте гранит-порфиров с отложениями Р. Три участка развития тунгомелан-псиломелановых руд.
436;438;Ii-11-20;Перевальное;Perevalnoe;2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Проявление;;проявле;0;;79.22;42.47;13846916;4710329;;79.21;42.47;79.21;42.47;Ак-Суйский район;/icon/Wo4.png;436__Perevalnoe.txt;152;;;Иссык-Кульская область;;42.45;1984-85гг -  поиски (канавы, скважины-260м)  <br>1985-92г -  поисково-оценочные работы (скв.-934м). <br><br>Р1 - 1876 т <br><br>WO3-0.11-1.38%  <br><br>Жилообразная скарновая зона на контакте гранитоидов O3-S с известняками и доломитами R3.
437;439;II-11-24;Кенсу;Kensuu;2;21;213;21304;Вольфрам;Редкие металлы;Металлы;Рудные;Коренное месторождение;;;0;;79.22;42.39;13847192;4704774;4;79.16;42.39;79.16;42.39;Ак-Суйский район;/icon/Wo4.png;437__Kensuu.txt;162;;;Иссык-Кульская область;;42.4;1976-79гг -  поиски  1<br>976-81г -  поисково-оценочные работы  <br>1981-89гг -  предварительная разведка  <br>ТЭО Подготовлено к эксплуатации. <br>Выс. 3300-3750м  легко доступно. <br><br>На глуб. 460м Госбаланс: <br>С1-10633т (0.41%) <br>С2 -18906т (0.58%) <br>С1+С2-29539т (0.50%) <br>Р1 - 4358т <br><br>WO3-0.40-0.58% <br>Mo - 0.03 % <br>Cu -0.01-0.15% <br>Ag - до 57.5 г/т <br><br>Карбонатно-терригенная толща С1 прорвана интрузией субщелочных габброидов, монцонитов,  сиенитов С2. <br><br>На  контакте - две скарновые рудные зоны (120-350 х 7-80 х 250-500м),  включающие 11 рудных тел (40-250 х 1.25-19.75 х 200-460м).
